,id,Name,Symbol,price,var_last_heure,var_last_day,var_cap,var_volume_day,var_circulating_supply,date,heure,variation_1h,moyenne_day
1117,84,Starknet,STRK,4.878282178701608e-06,1.7,1.03,9.073169909740278e-05,0.000249809892688407,2099455075,2024-11-01,16:39:01,-0.00013031914893617063,4.9197806758260555e-06
1118,84,Starknet,STRK,4.851990052135994e-06,2.29,1.73,8.792292143752187e-05,0.00025078309670403457,2099455075,2024-11-01,16:41:03,-5.389382915656162e-05,4.9197806758260555e-06
1119,85,Starknet,STRK,4.8414732015097485e-06,0.0,1.44,8.683908019683806e-05,0.0002651051929343054,2099455075,2024-11-01,18:05:40,-2.167434299647704e-05,4.9197806758260555e-06
1120,83,Starknet,STRK,5.118855136776984e-06,0.0,0.0,0.00011641028700277691,0.00045560215673182846,2099455075,2024-11-06,19:39:39,0.0005729025251153953,5.194297898958546e-06
1121,83,Starknet,STRK,5.118855136776984e-06,0.0,0.0,0.00011641028700277691,0.00045560215673182846,2099455075,2024-11-06,19:40:04,0.0,5.194297898958546e-06
1122,83,Starknet,STRK,5.1162259241204225e-06,0.0,0.0,0.00011611152653668617,0.0004566631568312587,2099455075,2024-11-06,19:45:48,-5.136106831022944e-06,5.194297898958546e-06
1123,83,Starknet,STRK,5.1162259241204225e-06,0.0,0.0,0.00011611152653668617,0.0004566631568312587,2099455075,2024-11-06,19:46:09,0.0,5.194297898958546e-06
1124,83,Starknet,STRK,5.125428168418388e-06,0.0,0.0,0.0001170621028186198,0.0004566631568312587,2099455075,2024-11-06,19:46:29,1.7985611510792237e-05,5.194297898958546e-06
1125,85,Starknet,STRK,5.174068602564775e-06,0.0,0.0,0.00012220727705735708,0.0004709747205758826,2099455075,2024-11-06,23:08:06,9.489612721210518e-05,5.194297898958546e-06
1126,34,Stacks,STX,2.1953703776740127e-05,0.0,6.46,0.0012346304945301564,0.00044759226287100764,1498085687,2024-10-26,12:48:51,0.0,2.2236335987894135e-05
1127,34,Stacks,STX,2.1953703776740127e-05,0.0,6.48,0.0012344604656752429,0.00044779623830176816,1498085687,2024-10-26,12:56:15,0.0,2.2236335987894135e-05
1128,33,Stacks,STX,2.1953703776740127e-05,0.0,6.53,0.001234425347058391,0.0004480271567558456,1498085687,2024-10-26,13:01:30,0.0,2.2236335987894135e-05
1129,33,Stacks,STX,2.2216625042396274e-05,0.4,0.0,0.0012557777779676276,0.00017001643714639373,1498217655,2024-10-27,11:11:03,0.00011976047904191627,2.2835524753017597e-05
1130,33,Stacks,STX,2.2873928206536646e-05,0.69,0.0,0.0013113913420022747,0.0002019322280738167,1498263618,2024-10-27,18:31:40,0.00029585798816568075,2.2835524753017597e-05
1131,35,Stacks,STX,2.1296400612599762e-05,1.11,4.63,0.0011923742288779762,0.0004978922469639157,1498992375,2024-11-01,16:38:54,-0.0006896551724137924,2.1526186340340405e-05
1132,35,Stacks,STX,2.1296400612599762e-05,1.32,4.56,0.0011926324777561867,0.0004982126066538062,1498992375,2024-11-01,16:40:57,0.0,2.1526186340340405e-05
1133,35,Stacks,STX,2.1164939979771685e-05,0.0,4.0,0.0011831438674234774,0.0005268605987714822,1499000369,2024-11-01,18:05:36,-6.172839506172845e-05,2.1526186340340405e-05
1134,35,Stacks,STX,2.1953703776740127e-05,0.0,0.0,0.0012421792499186235,0.0009692056990695776,1499619071,2024-11-06,19:39:34,0.0003726708074534151,2.2347296870324406e-05
1135,35,Stacks,STX,2.1953703776740127e-05,0.0,0.0,0.0012421792499186235,0.0009692056990695776,1499619071,2024-11-06,19:39:58,0.0,2.2347296870324406e-05
1136,35,Stacks,STX,2.1953703776740127e-05,0.0,0.0,0.001243043006230656,0.0009694025962484499,1499622071,2024-11-06,19:45:44,0.0,2.2347296870324406e-05
1137,35,Stacks,STX,2.1953703776740127e-05,0.0,0.0,0.001243043006230656,0.0009694025962484499,1499622071,2024-11-06,19:46:05,0.0,2.2347296870324406e-05
1138,35,Stacks,STX,2.1953703776740127e-05,0.0,0.0,0.001243043006230656,0.0009694025962484499,1499622071,2024-11-06,19:46:25,0.0,2.2347296870324406e-05
1139,33,Stacks,STX,2.26110069408805e-05,0.29,0.0,0.0012862550978652225,0.0010264035303744847,1499643067,2024-11-06,23:08:02,0.0002994011976047907,2.2347296870324406e-05
1140,21,Sui,SUI,2.339977073784894e-05,0.0,7.41,0.0028574160446145982,0.00496495090787978,2763841373,2024-10-26,12:48:50,0.0,2.3701019635973713e-05
1141,21,Sui,SUI,2.339977073784894e-05,0.0,7.49,0.002853978966171824,0.004966256379909815,2763841373,2024-10-26,12:56:14,0.0,2.3701019635973713e-05
1142,21,Sui,SUI,2.339977073784894e-05,0.0,7.4,0.002856053033659742,0.004962292506160647,2763841373,2024-10-26,13:01:29,0.0,2.3701019635973713e-05
1143,21,Sui,SUI,2.366269200350509e-05,0.8,0.0,0.00287803825338596,0.0021943814308014,2763841373,2024-10-27,11:11:02,0.00011235955056179785,2.3701019635973713e-05
1144,21,Sui,SUI,2.3136849472192793e-05,0.51,1.23,0.0028180908530523047,0.001877207287974719,2763841373,2024-10-27,18:31:39,-0.00022222222222222242,2.3701019635973713e-05
1145,17,Sui,SUI,2.6686286558550785e-05,2.79,0.0,0.0034148421676857567,0.004830300426449109,2845750696,2024-11-01,16:38:53,0.001534090909090908,2.6807924344021297e-05
1146,17,Sui,SUI,2.6554825925722715e-05,2.86,0.0,0.0034102562584699234,0.004839721087923266,2845750696,2024-11-01,16:40:55,-4.9261083743841324e-05,2.6807924344021297e-05
1147,17,Sui,SUI,2.6160444027238494e-05,0.0,1.13,0.003338361432181739,0.005333272551543252,2845750696,2024-11-01,18:05:34,-0.00014851485148514865,2.6807924344021297e-05
1148,16,Sui,SUI,2.9709881113596486e-05,0.0,0.0,0.0038581490015525376,0.01143111172527101,2845750696,2024-11-06,19:39:32,0.001356783919597989,3.022551952287364e-05
1149,16,Sui,SUI,2.9709881113596486e-05,0.0,0.0,0.0038581490015525376,0.01143111172527101,2845750696,2024-11-06,19:39:55,0.0,3.022551952287364e-05
1150,16,Sui,SUI,2.9709881113596486e-05,0.0,0.0,0.003855909787737659,0.01143348590795278,2845750696,2024-11-06,19:45:42,0.0,3.022551952287364e-05
1151,16,Sui,SUI,2.9709881113596486e-05,0.0,0.0,0.00386175876835194,0.01143348590795278,2845750696,2024-11-06,19:46:03,0.0,3.022551952287364e-05
1152,16,Sui,SUI,2.9709881113596486e-05,0.0,0.0,0.003855909787737659,0.01143348590795278,2845750696,2024-11-06,19:46:22,0.0,3.022551952287364e-05
1153,16,Sui,SUI,3.049864491056493e-05,0.0,0.0,0.003976585851518496,0.011598788012720107,2845750696,2024-11-06,23:08:00,0.0002654867256637171,3.022551952287364e-05
1154,24,Bittensor,TAO,0.006813209995675038,0.0,3.58,0.0021206594370599056,0.0011923854517640314,7380936,2024-10-26,12:48:50,0.0,0.006892401563834603
1155,24,Bittensor,TAO,0.006803218987580104,0.0,3.86,0.002116948832430901,0.0011923827644872598,7380936,2024-10-26,12:56:14,-1.4664171184903447e-05,0.006892401563834603
1156,24,Bittensor,TAO,0.006797960562266982,0.0,4.06,0.0021149547205863593,0.0011922678965782035,7380936,2024-10-26,13:01:30,-7.72931924020748e-06,0.006892401563834603
1157,25,Bittensor,TAO,0.0065799988330380345,0.21,3.34,0.0020334416187632333,0.00042385522514349835,7380936,2024-10-27,11:11:02,-0.00032062810620564367,0.006709382684354115
1158,25,Bittensor,TAO,0.006668208917665673,0.54,0.0,0.0020664041633812313,0.00043198852882363604,7380936,2024-10-27,18:31:40,0.00013405789862745563,0.006709382684354115
1159,26,Bittensor,TAO,0.006157089977230121,2.07,3.92,0.0018752046805891923,0.0007773238802665408,7380936,2024-11-01,16:38:54,-0.0007665010645848118,0.006230586476667496
1160,26,Bittensor,TAO,0.006160639414316479,2.23,3.99,0.0018764998885773872,0.0007782795906373028,7380936,2024-11-01,16:40:56,5.764796310529973e-06,0.006230586476667496
1161,26,Bittensor,TAO,0.006136450657876114,0.0,4.05,0.0018674626112121589,0.0008570714764644339,7380936,2024-11-01,18:05:35,-3.9263384759831316e-05,0.006230586476667496
1162,25,Bittensor,TAO,0.0068747335718385765,0.0,0.0,0.002143710391291507,0.0018308214542287554,7380936,2024-11-06,19:39:33,0.001203110606482573,0.006961685538824065
1163,25,Bittensor,TAO,0.0068747335718385765,0.0,0.0,0.002143710391291507,0.0018308214542287554,7380936,2024-11-06,19:39:56,0.0,0.006961685538824065
1164,25,Bittensor,TAO,0.006868817843361313,0.0,0.0,0.002141476727712104,0.0018302933311602368,7380936,2024-11-06,19:45:43,-8.605029161488582e-06,0.006961685538824065
1165,25,Bittensor,TAO,0.006868817843361313,0.0,0.0,0.002141476727712104,0.0018302933311602368,7380936,2024-11-06,19:46:04,0.0,0.006961685538824065
1166,25,Bittensor,TAO,0.006868817843361313,0.0,0.0,0.002141476727712104,0.0018302933311602368,7380936,2024-11-06,19:46:24,0.0,0.006961685538824065
1167,25,Bittensor,TAO,0.006883278512972401,0.31,0.0,0.002146903779812087,0.0018263095867850072,7380936,2024-11-06,23:08:01,2.1052631578947803e-05,0.006961685538824065
1168,61,Theta Network,THETA,1.498629023685221e-05,0.11,7.24,0.0003341220785021305,0.0001714170879530611,1000000000,2024-10-26,12:48:54,0.0,1.5179223865328903e-05
1169,61,Theta Network,THETA,1.498629023685221e-05,0.12,7.27,0.0003337464437096086,0.00017134845993930177,1000000000,2024-10-26,12:56:17,0.0,1.5179223865328903e-05
1170,61,Theta Network,THETA,1.498629023685221e-05,0.16,7.39,0.00033328977108108105,0.0001713259196003687,1000000000,2024-10-26,13:01:33,0.0,1.5179223865328903e-05
1171,61,Theta Network,THETA,1.498629023685221e-05,0.0,0.11,0.00033305906613769067,6.590068544013234e-05,1000000000,2024-10-27,11:11:05,0.0,1.537895345370339e-05
1172,59,Theta Network,THETA,1.538067213533643e-05,0.07,0.0,0.00034948071223166605,5.4351349484936916e-05,1000000000,2024-10-27,18:31:43,0.00026315789473684237,1.537895345370339e-05
1173,62,Theta Network,THETA,1.4854829604024136e-05,1.63,1.43,0.0003249497882771252,0.00010622243618391433,1000000000,2024-11-01,16:38:58,-0.0003418803418803422,1.5001686453440471e-05
1174,62,Theta Network,THETA,1.4854829604024136e-05,1.58,1.38,0.0003252567051704235,0.00010618010132915458,1000000000,2024-11-01,16:41:00,0.0,1.5001686453440471e-05
1175,63,Theta Network,THETA,1.4723368971196066e-05,0.0,1.7,0.00031472493244497866,0.00011684347316234365,1000000000,2024-11-01,18:05:38,-8.849557522123707e-05,1.5001686453440471e-05
